Date,NIFTY18NOV10650PE O,NIFTY18NOV10650PE H,NIFTY18NOV10650PE L,NIFTY18NOV10650PE C,NIFTY18NOV10650PE V
10/30/2018 2:15:00 PM,455,455,455,455,0
10/30/2018 2:14:00 PM,455,455,455,455,0
10/30/2018 2:13:00 PM,455,455,455,455,0
10/30/2018 2:12:00 PM,455,455,455,455,0
10/30/2018 2:11:00 PM,455,455,455,455,0
10/30/2018 2:10:00 PM,455,455,455,455,0
10/30/2018 2:09:00 PM,455,455,455,455,0
10/30/2018 2:08:00 PM,455,455,455,455,0
10/30/2018 2:07:00 PM,455,455,455,455,0
10/30/2018 2:06:00 PM,455,455,455,455,0
10/30/2018 2:05:00 PM,455,455,455,455,0
10/30/2018 2:04:00 PM,455,455,455,455,0
10/30/2018 2:03:00 PM,455,455,455,455,0
10/30/2018 2:02:00 PM,455,455,455,455,0
10/30/2018 2:01:00 PM,455,455,455,455,0
10/30/2018 2:00:00 PM,455,455,455,455,0
10/30/2018 1:59:00 PM,455,455,455,455,0
10/30/2018 1:58:00 PM,455,455,455,455,0
10/30/2018 1:57:00 PM,455,455,455,455,0
10/30/2018 1:56:00 PM,455,455,455,455,0
10/30/2018 1:55:00 PM,455,455,455,455,0
10/30/2018 1:54:00 PM,455,455,455,455,0
10/30/2018 1:53:00 PM,455,455,455,455,0
10/30/2018 1:52:00 PM,455,455,455,455,0
10/30/2018 1:51:00 PM,455,455,455,455,0
10/30/2018 1:50:00 PM,455,455,455,455,0
10/30/2018 1:49:00 PM,455,455,455,455,0
10/30/2018 1:48:00 PM,455,455,455,455,0
10/30/2018 1:47:00 PM,455,455,455,455,0
10/30/2018 1:46:00 PM,455,455,455,455,0
10/30/2018 1:45:00 PM,455,455,455,455,0
10/30/2018 1:44:00 PM,455,455,455,455,0
10/30/2018 1:43:00 PM,455,455,455,455,0
10/30/2018 1:42:00 PM,455,455,455,455,0
10/30/2018 1:41:00 PM,455,455,455,455,0
10/30/2018 1:40:00 PM,455,455,455,455,0
10/30/2018 1:39:00 PM,455,455,455,455,0
10/30/2018 1:38:00 PM,455,455,455,455,0
10/30/2018 1:37:00 PM,455,455,455,455,0
10/30/2018 1:36:00 PM,455,455,455,455,0
10/30/2018 1:35:00 PM,455,455,455,455,0
10/30/2018 1:34:00 PM,455,455,455,455,0
10/30/2018 1:33:00 PM,455,455,455,455,0
10/30/2018 1:32:00 PM,455,455,455,455,0
10/30/2018 1:31:00 PM,455,455,455,455,0
10/30/2018 1:30:00 PM,455,455,455,455,0
10/30/2018 1:29:00 PM,453.95,455,453.95,455,975
10/29/2018 3:29:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:28:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:27:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:26:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:25:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:24:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:23:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:22:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:21:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:20:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:19:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:18:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:17:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:16:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:15:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:14:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:13:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:12:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:11:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:10:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:09:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:08:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:07:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:06:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:05:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:04:00 PM,444.2,444.2,444.2,444.2,0
10/29/2018 3:03:00 PM,474.85,474.85,443.7,444.2,150
10/29/2018 3:02:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 3:01:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 3:00:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:59:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:58:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:57:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:56:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:55:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:54:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:53:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:52:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:51:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:50:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:49:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:48:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:47:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:46:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:45:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:44:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:43:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:42:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:41:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:40:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:39:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:38:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:37:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:36:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:35:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:34:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:33:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:32:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:31:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:30:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:29:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:28:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:27:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:26:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:25:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:24:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:23:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:22:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:21:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:20:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:19:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:18:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:17:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:16:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:15:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:14:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:13:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:12:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:11:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:10:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:09:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:08:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:07:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:06:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:05:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:04:00 PM,474.85,474.85,474.85,474.85,0
10/29/2018 2:03:00 PM,463.35,474.85,463.35,474.85,375
10/29/2018 2:02:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 2:01:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 2:00:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:59:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:58:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:57:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:56:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:55:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:54:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:53:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:52:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:51:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:50:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:49:00 PM,463.35,463.35,463.35,463.35,0
10/29/2018 1:48:00 PM,463.35,463.35,463.35,463.35,75
10/29/2018 1:47:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:46:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:45:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:44:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:43:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:42:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:41:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:40:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:39:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:38:00 PM,465.45,465.45,465.45,465.45,0
10/29/2018 1:37:00 PM,478.1,478.1,465.45,465.45,225
10/29/2018 1:36:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:35:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:34:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:33:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:32:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:31:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:30:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:29:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:28:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:27:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:26:00 PM,478.1,478.1,478.1,478.1,0
10/29/2018 1:25:00 PM,487.5,487.5,478.1,478.1,300
10/29/2018 1:24:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:23:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:22:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:21:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:20:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:19:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:18:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:17:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:16:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:15:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:14:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:13:00 PM,487.5,487.5,487.5,487.5,0
10/29/2018 1:12:00 PM,471.35,487.5,471.35,487.5,375
10/29/2018 1:11:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:10:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:09:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:08:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:07:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:06:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:05:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:04:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:03:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:02:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:01:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 1:00:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:59:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:58:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:57:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:56:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:55:00 PM,471.35,471.35,471.35,471.35,0
10/29/2018 12:54:00 PM,511,511,471.35,471.35,675
10/29/2018 12:53:00 PM,511,511,511,511,0
10/29/2018 12:52:00 PM,511,511,511,511,0
10/29/2018 12:51:00 PM,511,511,511,511,0
10/29/2018 12:50:00 PM,511,511,511,511,0
10/29/2018 12:49:00 PM,511,511,511,511,0
10/29/2018 12:48:00 PM,511,511,511,511,0
10/29/2018 12:47:00 PM,511,511,511,511,0
10/29/2018 12:46:00 PM,542.05,542.05,511,511,300
10/29/2018 12:45:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:44:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:43:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:42:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:41:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:40:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:39:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:38:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:37:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:36:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:35:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:34:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:33:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:32:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:31:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:30:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:29:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:28:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:27:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:26:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:25:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:24:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:23:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:22:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:21:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:20:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:19:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:18:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:17:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:16:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:15:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:14:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:13:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:12:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:11:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:10:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:09:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:08:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:07:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:06:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:05:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:04:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:03:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:02:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:01:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 12:00:00 PM,542.05,542.05,542.05,542.05,0
10/29/2018 11:59:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:58:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:57:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:56:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:55:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:54:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:53:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:52:00 AM,542.05,542.05,542.05,542.05,0
10/29/2018 11:51:00 AM,549,549,542.05,542.05,2175
10/29/2018 11:50:00 AM,549,549,549,549,0
10/29/2018 11:49:00 AM,549,549,549,549,0
10/29/2018 11:48:00 AM,549.05,549.05,549,549,1875
10/26/2018 3:29:00 PM,615.8,615.8,615.8,615.8,0
10/26/2018 3:28:00 PM,615.8,615.8,615.8,615.8,0
10/26/2018 3:27:00 PM,564.3,619.1,564.3,615.8,300
10/26/2018 3:26:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:25:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:24:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:23:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:22:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:21:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:20:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:19:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:18:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:17:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:16:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:15:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:14:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:13:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:12:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:11:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:10:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:09:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:08:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:07:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:06:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:05:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:04:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:03:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:02:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:01:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 3:00:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:59:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:58:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:57:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:56:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:55:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:54:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:53:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:52:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:51:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:50:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:49:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:48:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:47:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:46:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:45:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:44:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:43:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:42:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:41:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:40:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:39:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:38:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:37:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:36:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:35:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:34:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:33:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:32:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:31:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:30:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:29:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:28:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:27:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:26:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:25:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:24:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:23:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:22:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:21:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:20:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:19:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:18:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:17:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:16:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:15:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:14:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:13:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:12:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:11:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:10:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:09:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:08:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:07:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:06:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:05:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:04:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:03:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:02:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:01:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 2:00:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:59:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:58:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:57:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:56:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:55:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:54:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:53:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:52:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:51:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:50:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:49:00 PM,564.3,564.3,564.3,564.3,0
10/26/2018 1:48:00 PM,564.3,564.3,564.3,564.3,975
10/24/2018 3:29:00 PM,450,450,450,450,0
10/24/2018 3:28:00 PM,450,450,450,450,0
10/24/2018 3:27:00 PM,450,450,450,450,0
10/24/2018 3:26:00 PM,450,450,450,450,0
10/24/2018 3:25:00 PM,450,450,450,450,0
10/24/2018 3:24:00 PM,450,450,450,450,0
10/24/2018 3:23:00 PM,450,450,450,450,0
10/24/2018 3:22:00 PM,450,450,450,450,0
10/24/2018 3:21:00 PM,450,450,450,450,0
10/24/2018 3:20:00 PM,450,450,450,450,0
10/24/2018 3:19:00 PM,450,450,450,450,0
10/24/2018 3:18:00 PM,450,450,450,450,0
10/24/2018 3:17:00 PM,450,450,450,450,0
10/24/2018 3:16:00 PM,450,450,450,450,0
10/24/2018 3:15:00 PM,450,450,450,450,0
10/24/2018 3:14:00 PM,450,450,450,450,0
10/24/2018 3:13:00 PM,450,450,450,450,0
10/24/2018 3:12:00 PM,450,450,450,450,0
10/24/2018 3:11:00 PM,450,450,450,450,0
10/24/2018 3:10:00 PM,450,450,450,450,0
10/24/2018 3:09:00 PM,450,450,450,450,0
10/24/2018 3:08:00 PM,450,450,450,450,0
10/24/2018 3:07:00 PM,450,450,450,450,0
10/24/2018 3:06:00 PM,450,450,450,450,0
10/24/2018 3:05:00 PM,450,450,450,450,0
10/24/2018 3:04:00 PM,450,450,450,450,0
10/24/2018 3:03:00 PM,450,450,450,450,0
10/24/2018 3:02:00 PM,450,450,450,450,0
10/24/2018 3:01:00 PM,450,450,450,450,0
10/24/2018 3:00:00 PM,450,450,450,450,0
10/24/2018 2:59:00 PM,450,450,450,450,0
10/24/2018 2:58:00 PM,450,450,450,450,0
10/24/2018 2:57:00 PM,450,450,450,450,0
10/24/2018 2:56:00 PM,450,450,450,450,0
10/24/2018 2:55:00 PM,450,450,450,450,0
10/24/2018 2:54:00 PM,450,450,450,450,0
10/24/2018 2:53:00 PM,450,450,450,450,0
10/24/2018 2:52:00 PM,450,450,450,450,0
10/24/2018 2:51:00 PM,450,450,450,450,0
10/24/2018 2:50:00 PM,450,450,450,450,0
10/24/2018 2:49:00 PM,450,450,450,450,0
10/24/2018 2:48:00 PM,450,450,450,450,0
10/24/2018 2:47:00 PM,450,450,450,450,0
10/24/2018 2:46:00 PM,450,450,450,450,0
10/24/2018 2:45:00 PM,450,450,450,450,0
10/24/2018 2:44:00 PM,450,450,450,450,0
10/24/2018 2:43:00 PM,450,450,450,450,0
10/24/2018 2:42:00 PM,450,450,450,450,0
10/24/2018 2:41:00 PM,450,450,450,450,0
10/24/2018 2:40:00 PM,450,450,450,450,0
10/24/2018 2:39:00 PM,450,450,450,450,0
10/24/2018 2:38:00 PM,450,450,450,450,0
10/24/2018 2:37:00 PM,450,450,450,450,0
10/24/2018 2:36:00 PM,450,450,450,450,0
10/24/2018 2:35:00 PM,450,450,450,450,0
10/24/2018 2:34:00 PM,450,450,450,450,0
10/24/2018 2:33:00 PM,450,450,450,450,0
10/24/2018 2:32:00 PM,450,450,450,450,0
10/24/2018 2:31:00 PM,450,450,450,450,0
10/24/2018 2:30:00 PM,450,450,450,450,0
10/24/2018 2:29:00 PM,450,450,450,450,0
10/24/2018 2:28:00 PM,450,450,450,450,0
10/24/2018 2:27:00 PM,450,450,450,450,0
10/24/2018 2:26:00 PM,450,450,450,450,0
10/24/2018 2:25:00 PM,450,450,450,450,0
10/24/2018 2:24:00 PM,450,450,450,450,0
10/24/2018 2:23:00 PM,450,450,450,450,0
